iter	Passed	Remaining
414	765	1078
415	767	1077
416	768	1074
417	769	1070
418	769	1067
419	770	1063
420	771	1060
421	771	1056
422	772	1053
423	773	1050
424	780	1056
425	781	1052
426	782	1049
427	782	1046
428	783	1042
429	784	1040
430	785	1037
431	786	1033
432	786	1030
433	787	1027
434	788	1023
435	788	1020
436	791	1019
437	792	1017
438	794	1014
439	794	1011
440	795	1008
441	796	1004
442	796	1001
443	797	998
444	797	995
445	798	991
446	799	988
447	799	985
448	800	982
449	801	979
450	802	976
451	803	973
452	803	970
453	807	971
454	808	968
455	809	965
456	810	962
457	811	959
458	812	957
459	813	954
460	813	951
461	814	948
462	815	945
463	815	942
464	816	939
465	817	936
466	817	933
467	818	930
468	818	927
469	822	927
470	824	925
471	825	923
472	826	921
473	827	918
474	827	915
475	828	912
476	829	909
477	830	906
478	830	903
479	831	900
480	832	897
481	832	895
482	833	892
483	837	893
484	839	890
485	839	888
486	840	885
487	841	882
488	842	880
489	842	877
490	843	874
491	844	871
492	844	868
493	845	865
494	846	863
495	847	860
496	847	857
497	848	855
498	852	855
499	852	852
500	853	850
501	854	847
502	854	844
503	856	842
504	856	839
505	857	837
506	858	834
507	858	831
508	859	828
509	859	826
510	860	823
511	861	820
512	861	818
513	862	815
514	862	812
515	864	811
516	867	810
517	868	807
518	869	805
519	869	802
520	870	800
521	871	797
522	871	794
523	872	792
524	872	789
525	873	787
526	874	784
527	875	782
528	875	779
529	876	777
530	877	774
531	877	772
532	878	769
533	883	770
534	884	768
535	884	766
536	885	763
537	886	760
538	886	758
539	887	755
540	887	753
541	888	750
542	889	748
543	889	745
544	890	743
545	891	741
546	892	738
547	892	736
548	896	736
549	897	734
550	897	731
551	898	729
552	899	726
553	899	724
554	900	722
555	901	720
556	902	717
557	902	715
558	903	712
559	904	710
560	904	707
561	905	705
562	905	703
563	906	700
564	907	698
565	907	696
566	908	694
567	912	694
568	913	691
569	914	689
570	915	687
571	915	685
572	916	683
573	917	680
574	918	678
575	919	676
576	920	674
577	920	672
578	921	670
579	922	667
580	922	665
581	927	666
582	929	664
583	930	662
584	931	660
585	932	658
586	932	656
587	933	654
588	934	651
589	934	649
590	935	647
591	936	645
592	937	643
593	937	640
594	939	639
595	943	639
596	944	637
597	945	635
598	946	633
599	947	631
600	948	629
601	949	627
602	950	625
603	950	623
604	951	621
605	952	619
606	953	617
607	957	617
608	958	615
609	959	613
610	960	611
611	961	609
612	961	607
613	962	605
614	963	602
615	964	601
616	964	598
617	965	596
618	966	594
619	966	592
620	967	590
621	968	588
622	971	588
623	973	586
624	973	584
625	974	582
626	975	580
627	975	578
628	976	575
629	976	573
630	977	571
631	978	569
632	978	567
633	979	565
634	980	563
635	981	561
636	982	559
637	982	557
638	983	555
639	985	554
640	987	553
641	988	551
642	990	549
643	991	548
644	992	546
645	993	544
646	995	542
647	995	541
648	996	539
649	1004	540
650	1005	539
651	1008	538
652	1010	537
653	1012	535
654	1016	535
655	1018	534
656	1019	532
657	1020	530
658	1021	528
659	1022	526
660	1023	524
661	1023	522
662	1024	520
663	1025	518
664	1026	517
665	1027	515
666	1027	513
667	1030	512
668	1031	510
669	1032	508
670	1033	506
671	1033	504
672	1034	502
673	1035	501
674	1036	499
675	1037	497
676	1037	495
677	1038	493
678	1038	491
679	1039	489
680	1040	487
681	1040	485
682	1041	483
683	1042	481
684	1046	481
685	1046	479
686	1047	477
687	1048	475
688	1048	473
689	1049	471
690	1050	469
691	1050	467
692	1051	465
693	1052	464
694	1053	462
695	1054	460
696	1055	458
697	1055	456
698	1056	454
699	1057	453
700	1059	451
701	1060	450
702	1061	448
703	1062	446
704	1063	444
705	1064	443
706	1064	441
707	1065	439
708	1065	437
709	1066	435
710	1067	433
711	1067	431
712	1068	430
713	1069	428
714	1069	426
715	1070	424
716	1071	422
717	1072	421
718	1075	420
719	1076	418
720	1077	417
721	1078	415
722	1080	413
723	1081	412
724	1082	410
725	1083	408
726	1083	406
727	1084	405
728	1084	403
729	1085	401
730	1086	399
731	1086	397
732	1087	396
733	1091	395
734	1092	393
735	1093	392
736	1093	390
737	1094	388
738	1095	386
739	1095	385
740	1096	383
741	1096	381
742	1097	379
743	1098	378
744	1099	376
745	1099	374
746	1100	372
747	1101	370
748	1101	369
749	1102	367
750	1104	366
751	1106	364
752	1107	363
753	1108	361
754	1109	359
755	1109	358
756	1110	356
757	1111	354
758	1111	353
759	1112	351
760	1113	349
761	1113	347
762	1114	346
763	1115	344
764	1116	342
765	1120	342
766	1121	340
767	1123	339
768	1123	337
769	1124	336
770	1125	334
771	1126	332
772	1126	330
773	1127	329
774	1127	327
775	1128	325
776	1129	324
777	1129	322
778	1130	320
779	1131	319
780	1131	317
781	1135	316
782	1137	315
783	1138	313
784	1138	311
785	1139	310
786	1140	308
787	1140	306
788	1141	305
789	1142	303
790	1143	302
791	1144	300
792	1144	298
793	1145	297
794	1145	295
795	1146	293
796	1148	292
797	1150	291
798	1151	289
799	1152	288
800	1153	286
801	1154	284
802	1154	283
803	1155	281
804	1155	279
805	1156	278
806	1157	276
807	1157	275
808	1158	273
809	1158	271
810	1160	270
811	1161	268
812	1165	268
813	1166	266
814	1167	264
815	1167	263
816	1168	261
817	1169	260
818	1170	258
819	1170	256
820	1171	255
821	1171	253
822	1172	252
823	1173	250
824	1173	249
825	1174	247
826	1175	245
827	1176	244
828	1179	243
829	1180	241
830	1181	240
831	1182	238
832	1182	237
833	1183	235
834	1184	234
835	1185	232
836	1185	230
837	1186	229
838	1187	227
839	1187	226
840	1188	224
841	1189	223
842	1190	221
843	1190	220
844	1191	218
845	1193	217
846	1195	215
847	1195	214
848	1196	212
849	1197	211
850	1197	209
851	1198	208
852	1198	206
853	1199	205
854	1200	203
855	1200	201
856	1201	200
857	1202	199
858	1204	197
859	1208	196
860	1209	195
861	1210	193
862	1211	192
863	1212	190
864	1212	189
865	1213	187
866	1213	186
867	1214	184
868	1215	183
869	1215	181
870	1216	180
871	1217	178
872	1217	177
873	1218	175
874	1218	174
875	1221	172
876	1223	171
877	1224	170
878	1224	168
879	1225	167
880	1226	165
881	1226	164
882	1227	162
883	1227	161
884	1228	159
885	1229	158
886	1230	156
887	1231	155
888	1231	153
889	1232	152
890	1233	150
891	1233	149
892	1236	148
893	1237	146
894	1239	145
895	1239	143
896	1240	142
897	1241	140
898	1241	139
899	1242	138
900	1242	136
901	1243	135
902	1244	133
903	1245	132
904	1245	130
905	1246	129
906	1247	127
907	1247	126
908	1248	124
909	1251	123
910	1252	122
911	1253	120
912	1254	119
913	1254	118
914	1255	116
915	1256	115
916	1257	113
917	1258	112
918	1258	110
919	1259	109
920	1260	108
921	1260	106
922	1261	105
923	1261	103
924	1262	102
925	1263	100
926	1263	99
927	1266	98
928	1267	96
929	1268	95
930	1269	94
931	1270	92
932	1270	91
933	1271	89
934	1272	88
935	1272	87
936	1273	85
937	1274	84
938	1275	82
939	1276	81
940	1276	80
941	1277	78
942	1278	77
943	1278	75
944	1282	74
945	1283	73
946	1284	71
947	1285	70
948	1286	69
949	1287	67
950	1287	66
951	1288	64
952	1289	63
953	1289	62
954	1290	60
955	1290	59
956	1291	58
957	1292	56
958	1293	55
959	1294	53
960	1296	52
961	1297	51
962	1297	49
963	1298	48
964	1299	47
965	1300	45
966	1301	44
967	1302	43
968	1302	41
969	1303	40
970	1304	38
971	1304	37
972	1305	36
973	1306	34
974	1306	33
975	1307	32
976	1307	30
977	1313	29
978	1314	28
979	1315	26
980	1316	25
981	1316	24
982	1317	22
983	1318	21
984	1318	20
985	1319	18
986	1320	17
987	1320	16
988	1321	14
989	1322	13
990	1322	12
991	1326	10
992	1326	9
993	1327	8
994	1328	6
995	1329	5
996	1329	4
997	1330	2
998	1330	1
999	1331	0
