iter	Passed	Remaining
224	345	1191
225	346	1187
226	347	1183
227	348	1179
228	349	1175
229	350	1171
230	352	1173
231	355	1175
232	356	1172
233	357	1170
234	358	1166
235	359	1162
236	359	1158
237	360	1154
238	361	1150
239	362	1147
240	362	1143
241	363	1138
242	364	1134
243	365	1132
244	366	1129
245	367	1126
246	368	1124
247	369	1120
248	370	1116
249	371	1115
250	373	1115
251	375	1113
252	375	1109
253	376	1106
254	379	1109
255	380	1106
256	381	1103
257	382	1099
258	383	1095
259	383	1092
260	384	1088
261	385	1086
262	386	1083
263	387	1080
264	388	1077
265	389	1073
266	389	1070
267	390	1066
268	391	1064
269	393	1065
270	395	1063
271	398	1066
272	401	1068
273	403	1067
274	404	1065
275	405	1063
276	409	1069
277	413	1072
278	416	1075
279	417	1072
280	417	1069
281	418	1065
282	419	1062
283	420	1059
284	420	1056
285	421	1052
286	425	1058
287	426	1055
288	427	1052
289	428	1049
290	429	1046
291	430	1043
292	431	1039
293	431	1036
294	432	1033
295	432	1029
296	433	1027
297	434	1023
298	435	1020
299	435	1016
300	436	1013
301	440	1018
302	441	1015
303	442	1012
304	442	1008
305	443	1005
306	444	1002
307	444	998
308	445	995
309	446	993
310	446	990
311	447	987
312	448	983
313	448	980
314	449	977
315	450	974
316	450	971
317	451	968
318	455	971
319	458	974
320	459	972
321	460	969
322	461	966
323	461	963
324	462	960
325	463	957
326	463	954
327	464	951
328	465	949
329	466	946
330	466	943
331	468	942
332	469	940
333	470	938
334	471	936
335	472	933
336	473	931
337	473	928
338	474	925
339	475	923
340	476	920
341	478	919
342	478	917
343	479	914
344	480	911
345	480	908
346	482	907
347	483	905
348	484	903
349	485	901
350	485	898
351	486	895
352	487	893
353	488	891
354	490	890
355	491	888
356	492	886
357	493	884
358	494	883
359	496	882
360	497	880
361	498	879
362	499	876
363	500	874
364	501	872
365	501	869
366	502	866
367	503	864
368	503	861
369	504	858
370	505	856
371	505	853
372	506	851
373	507	849
374	508	847
375	509	845
376	510	844
377	512	843
378	514	842
379	514	839
380	515	837
381	515	834
382	516	832
383	517	829
384	517	827
385	518	825
386	519	822
387	520	820
388	520	818
389	521	815
390	522	813
391	522	810
392	523	808
393	524	806
394	526	805
395	527	804
396	528	802
397	529	800
398	530	798
399	530	796
400	531	794
401	532	791
402	532	789
403	533	787
404	534	784
405	534	782
406	535	780
407	536	778
408	537	776
409	537	774
410	538	771
411	539	769
412	540	768
413	542	767
414	543	766
415	544	764
416	545	762
417	545	760
418	546	757
419	547	755
420	547	753
421	548	751
422	549	749
423	550	747
424	550	745
425	551	743
426	552	741
427	552	738
428	553	736
429	554	734
430	556	734
431	557	732
432	558	731
433	559	729
434	559	727
435	560	725
436	561	723
437	562	721
438	563	719
439	563	717
440	564	715
441	565	713
442	565	711
443	566	709
444	567	707
445	567	705
446	568	703
447	570	702
448	571	701
449	573	700
450	573	698
451	574	696
452	575	694
453	575	692
454	576	690
455	577	688
456	577	686
457	578	684
458	579	682
459	580	680
460	580	679
461	581	677
462	582	675
463	582	673
464	583	671
465	584	670
466	586	669
467	588	668
468	588	666
469	589	664
470	590	663
471	592	662
472	593	660
473	593	658
474	594	656
475	595	655
476	595	653
477	596	651
478	596	649
479	597	647
